year,state_po,district,candidate,party,voteshare
1976,MO,5,Bolling,democrat,68.020661
1976,MO,5,Moore,independent,3.873852
1976,MO,6,Maxfield,democrat,40.527724
1976,MO,6,Coleman,republican,58.534992
1976,MO,6,Thompson,independent,0.937284
1976,MO,7,Hawkins,democrat,37.979805
1976,MO,7,Taylor,republican,62.020195
1976,MO,8,Ichord,democrat,67.321647
1976,MO,8,Leiderman,independent,2.075801
1976,MO,8,Leick,republican,30.602552
1976,MO,9,Volkmer,democrat,55.928438
1976,MO,9,Frappier,republican,44.071562
1976,MO,10,Carron,republican,27.927903
1976,MO,10,Burlison,democrat,72.072097
1976,MT,1,Diehl,republican,33.553259
1976,MT,1,Baucus,democrat,66.446741
1976,MT,2,Marlence,republican,54.955885
1976,MT,2,Towe,democrat,45.044115
1976,NE,1,Thone,republican,73.180938
1976,NE,1,Anderson,democrat,26.813570
1976,NE,2,Cavanaugh,democrat,54.609346
1976,NE,2,Terry,republican,45.390654
1976,NE,3,Smith,republican,72.897169
1976,NE,3,Hansen,democrat,24.672442
1976,NE,3,Steen,american,2.430295
1976,NV,0,Burns,libertarian,1.413468
1976,NV,0,Santini,democrat,77.050780
1976,NV,0,Other,independent,3.442358
1976,NV,0,Earhart,republican,12.070268
1976,NV,0,Hanson,independent american,6.023126
1976,NH,1,OBrien,libertarian,1.484435
1976,NH,1,Adams,republican,30.388266
1976,NH,1,DAmours,democrat,68.127299
1976,NH,2,Grandmaison,democrat,39.466596
1976,NH,2,Cleveland,republican,60.533404
1976,NJ,1,Florio,democrat,70.100258
1976,NJ,1,Sloan,new majority,0.402262
1976,NJ,1,Bowen,labor,0.167780
1976,NJ,1,McCullough,republican,28.919230
1976,NJ,1,Smith,libertarian,0.410471
1976,NJ,2,Hughes,democrat,61.720832
1976,NJ,2,Hurley,republican,38.279168
1976,NJ,3,Siciliano,republican,37.088195
1976,NJ,3,Howard,democrat,62.110297
1976,NJ,3,Swirsky,libertarian,0.801508
1976,NJ,4,Indyk,republican,32.065103
1976,NJ,4,Greenspan,labor,0.246389
1976,NJ,4,Mahalchik,regular democracy,0.837489
1976,NJ,4,Thompson,democrat,66.297376
1976,NJ,4,Moyers,libertarian,0.553644
1976,NJ,5,Giammarco,pro-life,0.719533
1976,NJ,5,Rehmke,libertarian,0.835978
1976,NJ,5,Viola,restoration,0.242108
1976,NJ,5,Nero,democrat,31.342125
1976,NJ,5,Fenwick,republican,66.860256
1976,NJ,6,Amber,american,0.538487
1976,NJ,6,Byrne,independent,0.435363
1976,NJ,6,Silverstein,individual needs center,0.106391
1976,NJ,6,Forsythe,republican,58.757653
1976,NJ,6,Brown,libertarian,0.474093
1976,NJ,6,Costa,democrat,39.688013
1976,NJ,7,Sheehan,republican,43.454844
1976,NJ,7,Maguire,democrat,56.545156
1976,NJ,8,Roe,democrat,70.586137
1976,NJ,8,Doll,libertarian,0.376145
1976,NJ,8,Doty,republican,29.037718
1976,NJ,9,Helstoski,democrat,44.341814
1976,NJ,9,Hollenbeck,republican,53.104614
1976,NJ,9,Terlizzi,independent taxpayers watchdog,0.787767
1976,NJ,9,Primich,libertarian,0.869312
