date,region,candidate,party,voteshare,version
11/7/2000,Armstrong__TX,Bush,republican,0.823027718550107,20191203
11/7/2000,Armstrong__TX,Nader,green,0.011727078891258,20191203
11/7/2000,Armstrong__TX,Other,NA,0.00533049040511727,20191203
11/7/2000,Aroostook__ME,Gore,democrat,0.489315084085024,20191203
11/7/2000,Aroostook__ME,Bush,republican,0.471075320832029,20191203
11/7/2000,Aroostook__ME,Nader,green,0.0300202031699058,20191203
11/7/2000,Aroostook__ME,Other,NA,0.009589391913041,20191203
11/7/2000,Arthur__NE,Gore,democrat,0.0955882352941176,20191203
11/7/2000,Arthur__NE,Bush,republican,0.863970588235294,20191203
11/7/2000,Arthur__NE,Nader,green,0.0220588235294118,20191203
11/7/2000,Arthur__NE,Other,NA,0.0183823529411765,20191203
11/7/2000,Ascension__LA,Gore,democrat,0.433957982103489,20191203
11/7/2000,Ascension__LA,Bush,republican,0.545260018155881,20191203
11/7/2000,Ascension__LA,Nader,green,0.0110232135909739,20191203
11/7/2000,Ascension__LA,Other,NA,0.00975878614965634,20191203
11/7/2000,Ashe__NC,Gore,democrat,0.388813493602171,20191203
11/7/2000,Ashe__NC,Bush,republican,0.603528499418379,20191203
11/7/2000,Ashe__NC,Nader,green,,20191203
11/7/2000,Ashe__NC,Other,NA,0.0076580069794494,20191203
11/7/2000,Ashland__OH,Gore,democrat,0.314469846645969,20191203
11/7/2000,Ashland__OH,Bush,republican,0.63660739486311,20191203
11/7/2000,Ashland__OH,Nader,green,0.0264841471446044,20191203
11/7/2000,Ashland__OH,Other,NA,0.0224386113463167,20191203
11/7/2000,Ashland__WI,Gore,democrat,0.552091254752852,20191203
11/7/2000,Ashland__WI,Bush,republican,0.385044359949303,20191203
11/7/2000,Ashland__WI,Nader,green,0.055766793409379,20191203
11/7/2000,Ashland__WI,Other,NA,0.00709759188846641,20191203
11/7/2000,Ashley__AR,Gore,democrat,0.514206262846089,20191203
11/7/2000,Ashley__AR,Bush,republican,0.468625317373957,20191203
11/7/2000,Ashley__AR,Nader,green,0.00737516624350139,20191203
11/7/2000,Ashley__AR,Other,NA,0.00979325353645267,20191203
11/7/2000,Ashtabula__OH,Gore,democrat,0.502406769355493,20191203
11/7/2000,Ashtabula__OH,Bush,republican,0.454499391974058,20191203
11/7/2000,Ashtabula__OH,Nader,green,0.0280958654235914,20191203
11/7/2000,Ashtabula__OH,Other,NA,0.0149979732468585,20191203
11/7/2000,Asotin__WA,Gore,democrat,0.342642454602379,20191203
11/7/2000,Asotin__WA,Bush,republican,0.61477770820288,20191203
11/7/2000,Asotin__WA,Nader,green,0.0269254852849092,20191203
11/7/2000,Asotin__WA,Other,NA,0.0156543519098309,20191203
11/7/2000,Assumption__LA,Gore,democrat,0.519446931264299,20191203
11/7/2000,Assumption__LA,Bush,republican,0.436486620909181,20191203
11/7/2000,Assumption__LA,Nader,green,0.0118372625087039,20191203
11/7/2000,Assumption__LA,Other,NA,0.0322291853178156,20191203
11/7/2000,Atascosa__TX,Gore,democrat,0.402196166015261,20191203
11/7/2000,Atascosa__TX,Bush,republican,0.579843662758236,20191203
11/7/2000,Atascosa__TX,Nader,green,0.0120975246603387,20191203
11/7/2000,Atascosa__TX,Other,NA,0.00586264656616415,20191203
11/7/2000,Atchison__KS,Gore,democrat,0.459565217391304,20191203
11/7/2000,Atchison__KS,Bush,republican,0.489565217391304,20191203
11/7/2000,Atchison__KS,Nader,green,0.033768115942029,20191203
11/7/2000,Atchison__KS,Other,NA,0.0171014492753623,20191203
11/7/2000,Atchison__MO,Gore,democrat,0.352838732149077,20191203
11/7/2000,Atchison__MO,Bush,republican,0.626262626262626,20191203
11/7/2000,Atchison__MO,Nader,green,0.0121908742598398,20191203
11/7/2000,Atchison__MO,Other,NA,0.00870776732845698,20191203
11/7/2000,Athens__OH,Gore,democrat,0.517074704287342,20191203
11/7/2000,Athens__OH,Bush,republican,0.381302314614689,20191203
11/7/2000,Athens__OH,Nader,green,0.0653515149133493,20191203
11/7/2000,Athens__OH,Other,NA,0.036271466184619,20191203
11/7/2000,Atkinson__GA,Gore,democrat,0.396426846933848,20191203
11/7/2000,Atkinson__GA,Bush,republican,0.592950265572187,20191203
11/7/2000,Atkinson__GA,Nader,green,0.000482858522452921,20191203
11/7/2000,Atkinson__GA,Other,NA,0.0101400289715113,20191203
11/7/2000,Atlantic__NJ,Gore,democrat,0.580448288731312,20191203
11/7/2000,Atlantic__NJ,Bush,republican,0.390693947443525,20191203
11/7/2000,Atlantic__NJ,Nader,green,0.0240170358499265,20191203
11/7/2000,Atlantic__NJ,Other,NA,0.00484072797523655,20191203
11/7/2000,Atoka__OK,Gore,democrat,0.440795559666975,20191203
11/7/2000,Atoka__OK,Bush,republican,0.549259944495837,20191203
11/7/2000,Atoka__OK,Nader,green,,20191203
11/7/2000,Atoka__OK,Other,NA,0.00994449583718779,20191203
11/7/2000,Attala__MS,Gore,democrat,0.407360936846508,20191203
11/7/2000,Attala__MS,Bush,republican,0.586365537432037,20191203
11/7/2000,Attala__MS,Nader,green,0.00306705701937822,20191203
11/7/2000,Attala__MS,Other,NA,0.00320646870207723,20191203
11/7/2000,Audrain__MO,Gore,democrat,0.45578367551327,20191203
11/7/2000,Audrain__MO,Bush,republican,0.526389584376565,20191203
11/7/2000,Audrain__MO,Nader,green,0.0113169754631948,20191203
11/7/2000,Audrain__MO,Other,NA,0.00650976464697046,20191203
