date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Suiter,alabama conservative,FALSE,0.015892326299514,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Folmar,republican,FALSE,0.3905874117819060,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Wallace,democratic,FALSE,0.5764140369220140,
11/02/1982,Minnesota,MN,FALSE,FALSE,FALSE,Haws,libertarian,FALSE,0.0035333122105749000,
11/02/1982,Minnesota,MN,FALSE,FALSE,FALSE,McDonald,honest government,FALSE,0.004461484214649700,
11/02/1982,Minnesota,MN,FALSE,FALSE,FALSE,Wheeler,socialist workers,FALSE,0.0057735539711624100,
11/02/1982,Minnesota,MN,FALSE,FALSE,FALSE,Whitney,republican,FALSE,0.3999890474585910,
11/02/1982,Minnesota,MN,FALSE,FALSE,FALSE,Perpich,democratic,FALSE,0.5862426021450220,
11/02/1982,Florida,FL,FALSE,FALSE,FALSE,Bafalis,republican,FALSE,0.3529811059129660,
11/02/1982,Florida,FL,FALSE,FALSE,FALSE,Graham,democratic,FALSE,0.6470188940870340,
11/02/1982,Nebraska,NE,FALSE,FALSE,FALSE,Thone,republican,FALSE,0.4933961971298610,
11/02/1982,Nebraska,NE,FALSE,FALSE,FALSE,Kerrey,democratic,FALSE,0.506603802870139,
11/02/1982,Ohio,OH,FALSE,FALSE,FALSE,Reupert,independent,FALSE,0.0042538536863802500,
11/02/1982,Ohio,OH,FALSE,FALSE,FALSE,Landefeld,independent,FALSE,0.0052086545173102000,
11/02/1982,Ohio,OH,FALSE,FALSE,FALSE,Goetz,libertarian,FALSE,0.011652442964428700,
11/02/1982,Ohio,OH,FALSE,FALSE,FALSE,Brown,republican,FALSE,0.3884630268646100,
11/02/1982,Ohio,OH,FALSE,FALSE,FALSE,Celeste,democratic,FALSE,0.590422021967271,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,McLaughlin,workers league,FALSE,0.000651314075489275,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Craine,socialist workers,FALSE,0.0012111810232078300,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Phillips,american independent,FALSE,0.0024197304743934900,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Jacobs,libertarian,FALSE,0.0051325522827571500,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Tisch,tisch independent citizens,FALSE,0.02641045681458730,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Headlee,republican,FALSE,0.4505192091599760,
11/02/1982,Michigan,MI,FALSE,FALSE,FALSE,Blanchard,democratic,FALSE,0.5135812142599630,
11/02/1982,Connecticut,CT,FALSE,FALSE,FALSE,Gengarelly,libertarian,FALSE,0.007232377135391870,
11/02/1982,Connecticut,CT,FALSE,FALSE,FALSE,Rome,republican,FALSE,0.4592527189457100,
11/02/1982,Connecticut,CT,FALSE,FALSE,FALSE,O'Neill,democratic,FALSE,0.5335149039188980,
11/02/1982,Rhode Island,RI,FALSE,FALSE,FALSE,Van Daam,independent,FALSE,0.01009642755479650,
