date,state,county,candidate,party,candidatevotes,totalvotes
11/8/1960,AL,Houston,Byrd,southern democrat,65,8078
11/8/1960,AL,Houston,Faubus,independent,41,8078
11/8/1960,AL,Houston,Other,other,20,8078
11/8/1960,AL,Jackson,Kennedy,democrat,4789,6891
11/8/1960,AL,Jackson,Nixon,republican,2036,6891
11/8/1960,AL,Jackson,Byrd,southern democrat,23,6891
11/8/1960,AL,Jackson,Faubus,independent,20,6891
11/8/1960,AL,Jackson,Other,other,23,6891
11/8/1960,AL,Jefferson,Kennedy,democrat,44369,107586
11/8/1960,AL,Jefferson,Nixon,republican,60004,107586
11/8/1960,AL,Jefferson,Byrd,southern democrat,1525,107586
11/8/1960,AL,Jefferson,Faubus,independent,1140,107586
11/8/1960,AL,Jefferson,Other,other,548,107586
11/8/1960,AL,Lamar,Kennedy,democrat,2386,3442
11/8/1960,AL,Lamar,Nixon,republican,964,3442
11/8/1960,AL,Lamar,Byrd,southern democrat,41,3442
11/8/1960,AL,Lamar,Faubus,independent,28,3442
11/8/1960,AL,Lamar,Other,other,23,3442
11/8/1960,AL,Lauderdale,Kennedy,democrat,8565,12437
11/8/1960,AL,Lauderdale,Nixon,republican,3570,12437
11/8/1960,AL,Lauderdale,Byrd,southern democrat,84,12437
11/8/1960,AL,Lauderdale,Faubus,independent,58,12437
11/8/1960,AL,Lauderdale,Other,other,160,12437
11/8/1960,AL,Lawrence,Kennedy,democrat,2929,4313
11/8/1960,AL,Lawrence,Nixon,republican,1365,4313
11/8/1960,AL,Lawrence,Byrd,southern democrat,7,4313
11/8/1960,AL,Lawrence,Faubus,independent,6,4313
11/8/1960,AL,Lawrence,Other,other,6,4313
11/8/1960,AL,Lee,Kennedy,democrat,3759,6144
11/8/1960,AL,Lee,Nixon,republican,2301,6144
11/8/1960,AL,Lee,Byrd,southern democrat,39,6144
11/8/1960,AL,Lee,Faubus,independent,30,6144
11/8/1960,AL,Lee,Other,other,15,6144
11/8/1960,AL,Limestone,Kennedy,democrat,4147,5156
11/8/1960,AL,Limestone,Nixon,republican,991,5156
11/8/1960,AL,Limestone,Byrd,southern democrat,8,5156
11/8/1960,AL,Limestone,Faubus,independent,7,5156
11/8/1960,AL,Limestone,Other,other,3,5156
11/8/1960,AL,Lowndes,Kennedy,democrat,796,1253
11/8/1960,AL,Lowndes,Nixon,republican,432,1253
11/8/1960,AL,Lowndes,Byrd,southern democrat,13,1253
11/8/1960,AL,Lowndes,Faubus,independent,12,1253
11/8/1960,AL,Lowndes,Other,other,0,1253
11/8/1960,AL,Macon,Kennedy,democrat,1327,2245
11/8/1960,AL,Macon,Nixon,republican,877,2245
11/8/1960,AL,Macon,Byrd,southern democrat,25,2245
11/8/1960,AL,Macon,Faubus,independent,14,2245
11/8/1960,AL,Macon,Other,other,2,2245
11/8/1960,AL,Madison,Kennedy,democrat,10959,16535
11/8/1960,AL,Madison,Nixon,republican,5299,16535
11/8/1960,AL,Madison,Byrd,southern democrat,128,16535
11/8/1960,AL,Madison,Faubus,independent,74,16535
11/8/1960,AL,Madison,Other,other,75,16535
11/8/1960,AL,Marengo,Kennedy,democrat,1436,2904
11/8/1960,AL,Marengo,Nixon,republican,1235,2904
11/8/1960,AL,Marengo,Byrd,southern democrat,120,2904
11/8/1960,AL,Marengo,Faubus,independent,83,2904
11/8/1960,AL,Marengo,Other,other,30,2904
11/8/1960,AL,Marion,Kennedy,democrat,3099,6078
11/8/1960,AL,Marion,Nixon,republican,2938,6078
11/8/1960,AL,Marion,Byrd,southern democrat,17,6078
11/8/1960,AL,Marion,Faubus,independent,14,6078
11/8/1960,AL,Marion,Other,other,10,6078
11/8/1960,AL,Marshall,Kennedy,democrat,6595,10018
11/8/1960,AL,Marshall,Nixon,republican,3398,10018
11/8/1960,AL,Marshall,Byrd,southern democrat,8,10018
11/8/1960,AL,Marshall,Faubus,independent,6,10018
11/8/1960,AL,Marshall,Other,other,11,10018
11/8/1960,AL,Mobile,Kennedy,democrat,28626,55822
11/8/1960,AL,Mobile,Nixon,republican,24608,55822
11/8/1960,AL,Mobile,Byrd,southern democrat,1308,55822
11/8/1960,AL,Mobile,Faubus,independent,1150,55822
11/8/1960,AL,Mobile,Other,other,130,55822
11/8/1960,AL,Monroe,Kennedy,democrat,2130,3182
11/8/1960,AL,Monroe,Nixon,republican,989,3182
11/8/1960,AL,Monroe,Byrd,southern democrat,34,3182
11/8/1960,AL,Monroe,Faubus,independent,25,3182
11/8/1960,AL,Monroe,Other,other,4,3182
11/8/1960,AL,Montgomery,Kennedy,democrat,9421,21755
11/8/1960,AL,Montgomery,Nixon,republican,11778,21755
11/8/1960,AL,Montgomery,Byrd,southern democrat,249,21755
11/8/1960,AL,Montgomery,Faubus,independent,182,21755
11/8/1960,AL,Montgomery,Other,other,125,21755
11/8/1960,AL,Morgan,Kennedy,democrat,7822,12248
11/8/1960,AL,Morgan,Nixon,republican,4357,12248
11/8/1960,AL,Morgan,Byrd,southern democrat,21,12248
11/8/1960,AL,Morgan,Faubus,independent,19,12248
