date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,version
11/08/1960,Georgia,GA,2,FALSE,FALSE,FALSE,Blank/Scattering,independent,FALSE,0.0006157902496986100,kachang
11/08/1960,Georgia,GA,2,FALSE,FALSE,FALSE,Russell,democratic,FALSE,0.9993842097503010,kachang
11/08/1960,Idaho,ID,2,FALSE,FALSE,FALSE,McLaughlin,democratic,FALSE,0.4774046888694130,kachang
11/08/1960,Idaho,ID,2,FALSE,FALSE,FALSE,Dworshak,republican,FALSE,0.5225953111305870,kachang
11/08/1960,Delaware,DE,2,FALSE,FALSE,FALSE,Frear,democratic,FALSE,0.492860220348372,kachang
11/08/1960,Delaware,DE,2,FALSE,FALSE,FALSE,Boggs,republican,FALSE,0.507139779651628,kachang
11/08/1960,National Popular Vote,NPV,1,FALSE,FALSE,FALSE,Republican,republican,FALSE,0.4424961402,20210915
11/08/1960,National Popular Vote,NPV,1,FALSE,FALSE,FALSE,Democratic,democrat,FALSE,0.5510009949,20210915
05/27/1961,Texas,TX,2,TRUE,FALSE,TRUE,Blakley,democratic,FALSE,0.4941636919910030,kachang
05/27/1961,Texas,TX,2,TRUE,FALSE,TRUE,Tower,republican,FALSE,0.5058363080089970,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,Gould,vegetarian,FALSE,0.0,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,Emery,socialist labor,FALSE,0.0013652183534021800,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,Feingold,socialist workers,FALSE,0.003057976892285390,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,O'Doherty,conservative,FALSE,0.020366231308247800,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,Donovan,democratic,FALSE,0.40141610280834100,kachang
11/06/1962,New York,NY,3,FALSE,FALSE,FALSE,Javits,republican,FALSE,0.5737944706377230,kachang
11/06/1962,Missouri,MO,3,FALSE,FALSE,FALSE,Kemper,republican,FALSE,0.4543472373694940,kachang
11/06/1962,Missouri,MO,3,FALSE,FALSE,FALSE,Long,democratic,FALSE,0.5456527626305060,kachang
11/06/1962,New Hampshire,NH,2,TRUE,FALSE,FALSE,Bass,republican,FALSE,0.4768405460586890,kachang
11/06/1962,New Hampshire,NH,2,TRUE,FALSE,FALSE,McIntyre,democratic,FALSE,0.5231594539413110,kachang
11/06/1962,North Dakota,ND,3,FALSE,FALSE,FALSE,Lanier,democratic,FALSE,0.3934619665053170,kachang
11/06/1962,North Dakota,ND,3,FALSE,FALSE,FALSE,Young,republican,FALSE,0.6065380334946840,kachang
11/06/1962,Oklahoma,OK,3,FALSE,FALSE,FALSE,Beck,independent,FALSE,0.004296597624234260,kachang
11/06/1962,Oklahoma,OK,3,FALSE,FALSE,FALSE,Crawford,republican,FALSE,0.46330741734766300,kachang
11/06/1962,Oklahoma,OK,3,FALSE,FALSE,FALSE,Monroney,democratic,FALSE,0.5323959850281020,kachang
11/06/1962,South Carolina,SC,3,FALSE,FALSE,FALSE,Workman,republican,FALSE,0.4283813435175060,kachang
11/06/1962,South Carolina,SC,3,FALSE,FALSE,FALSE,Johnston,democratic,FALSE,0.5716186564824940,kachang
11/06/1962,South Dakota,SD,3,FALSE,FALSE,FALSE,Bottum,republican,FALSE,0.49882627723449700,kachang
11/06/1962,South Dakota,SD,3,FALSE,FALSE,FALSE,McGovern,democratic,FALSE,0.5011737227655030,kachang
11/06/1962,Vermont,VT,3,FALSE,FALSE,FALSE,Write-In,nonpartisan,FALSE,0.0016122133385977000,kachang
11/06/1962,Vermont,VT,3,FALSE,FALSE,FALSE,Johnson,democratic,FALSE,0.33012535781265400,kachang
11/06/1962,Vermont,VT,3,FALSE,FALSE,FALSE,Aiken,republican,FALSE,0.6682624288487480,kachang
11/06/1962,Arizona,AZ,3,FALSE,FALSE,FALSE,Mecham,republican,FALSE,0.45059500006894600,kachang
11/06/1962,Arizona,AZ,3,FALSE,FALSE,FALSE,Hayden,democratic,FALSE,0.5494049999310540,kachang
11/06/1962,Nevada,NV,3,FALSE,FALSE,FALSE,Wright,republican,FALSE,0.3472405136225200,kachang
11/06/1962,Nevada,NV,3,FALSE,FALSE,FALSE,Bible,democratic,FALSE,0.6527594863774800,kachang
11/06/1962,Idaho,ID,2,TRUE,FALSE,FALSE,Pfost,democratic,FALSE,0.4905288403699210,kachang
11/06/1962,Idaho,ID,2,TRUE,FALSE,FALSE,Jordan,republican,FALSE,0.5094711596300800,kachang
11/06/1962,Oregon,OR,3,FALSE,FALSE,FALSE,Write-In,nonpartisan,FALSE,0.00040059193349231300,kachang
11/06/1962,Oregon,OR,3,FALSE,FALSE,FALSE,Unander,republican,FALSE,0.45806823573028700,kachang
11/06/1962,Oregon,OR,3,FALSE,FALSE,FALSE,Morse,democratic,FALSE,0.5415311723362210,kachang
11/06/1962,Georgia,GA,3,FALSE,FALSE,FALSE,Talmadge,democratic,FALSE,1.0,kachang
11/06/1962,Indiana,IN,3,FALSE,FALSE,FALSE,Capehart,republican,FALSE,0.49696006417642300,kachang
11/06/1962,Indiana,IN,3,FALSE,FALSE,FALSE,Bayh,democratic,FALSE,0.5030399358235770,kachang
11/06/1962,Iowa,IA,3,FALSE,FALSE,FALSE,Smith,democratic,FALSE,0.4661111977484200,kachang
11/06/1962,Iowa,IA,3,FALSE,FALSE,FALSE,Hickenlooper,republican,FALSE,0.5338888022515800,kachang
11/06/1962,Kentucky,KY,3,FALSE,FALSE,FALSE,Wyatt,democratic,FALSE,0.4724371043107570,kachang
11/06/1962,Kentucky,KY,3,FALSE,FALSE,FALSE,Morton,republican,FALSE,0.5275628956892430,kachang
11/06/1962,Louisiana,LA,3,FALSE,FALSE,FALSE,O'Hearn,republican,FALSE,0.24536099066517700,kachang
11/06/1962,Louisiana,LA,3,FALSE,FALSE,FALSE,Long,democratic,FALSE,0.7546390093348230,kachang
11/06/1962,New Hampshire,NH,3,FALSE,FALSE,FALSE,Catalfo,democratic,FALSE,0.4029062852204440,kachang
11/06/1962,New Hampshire,NH,3,FALSE,FALSE,FALSE,Cotton,republican,FALSE,0.5970937147795560,kachang
11/06/1962,Wyoming,WY,2,TRUE,FALSE,FALSE,Hickey,democratic,FALSE,0.42161478403645700,kachang
11/06/1962,Wyoming,WY,2,TRUE,FALSE,FALSE,Simpson,republican,FALSE,0.5783852159635430,kachang
11/06/1962,Colorado,CO,3,FALSE,FALSE,FALSE,Leonard,socialist workers,FALSE,0.0007172618853554690,kachang
11/06/1962,Colorado,CO,3,FALSE,FALSE,FALSE,Olshaw,independent,FALSE,0.0019838811692672800,kachang
11/06/1962,Colorado,CO,3,FALSE,FALSE,FALSE,Benson,socialist,FALSE,0.005780478739705660,kachang
